127.0.0.1 - - [19/Feb/2019:07:55:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:22 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:23 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:28 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:37 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:41 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:59 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12035
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:55:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:03 +0530] "GET /ORSProject4/ctl/FacultyCtl?id=7 HTTP/1.1" 200 10034
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:11 +0530] "POST /ORSProject4/ctl/FacultyCtl HTTP/1.1" 200 10053
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:16 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:21 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7407
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:27 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 10974
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:56:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:01 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 11049
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:10 +0530] "GET /ORSProject4/ctl/CourseListCtl HTTP/1.1" 200 9818
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:14 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:24 +0530] "GET /ORSProject4/ctl/CourseListCtl HTTP/1.1" 200 9818
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:27 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:28 +0530] "GET /ORSProject4/ctl/FacultyListCtl HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:31 +0530] "GET /ORSProject4/ctl/FacultyCtl HTTP/1.1" 200 9916
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:45 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 11049
0:0:0:0:0:0:0:1 - - [19/Feb/2019:07:59:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
