127.0.0.1 - - [22/May/2019:12:25:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:32 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:32 +0530] "GET /ORSProject4/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:32 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:47 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:47 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:47 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:12:25:47 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:02 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:22 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:22 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:24 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:59 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5907
0:0:0:0:0:0:0:1 - - [22/May/2019:12:26:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:27:03 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2019:12:27:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/May/2019:12:27:12 +0530] "POST /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [22/May/2019:12:27:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
