127.0.0.1 - - [07/Jul/2019:17:07:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:12 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:12 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:17 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:18 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:18 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:20 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:29 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6583
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:33 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:07:37 +0530] "GET /ORSProject4/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:09:05 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 9058
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:09:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:09:58 +0530] "GET /ORSProject4/ctl/UserCtl HTTP/1.1" 200 9480
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:09:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:11:45 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:11:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:13:05 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:13:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:13:12 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:13:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:23:30 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:23:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:24:34 +0530] "POST /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:24:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:17 +0530] "POST /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:17 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 9058
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:24 +0530] "POST /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12684
0:0:0:0:0:0:0:1 - - [07/Jul/2019:17:25:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
