127.0.0.1 - - [25/Nov/2019:18:10:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:07 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:10 +0530] "GET /ORSProject4/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:10 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:13 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:13 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:13 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:13 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:15 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:59 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:11:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:04 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5907
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:12 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5907
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:18 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6583
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:21 +0530] "GET /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 11601
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:32 +0530] "GET /ORSProject4/ctl/StudentListCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:12:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:14:33 +0530] "GET /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 11601
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:14:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:14:40 +0530] "POST /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 10858
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:14:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:29:04 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 13066
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:29:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:35:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:25 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:27 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:33 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:41 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6583
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:43 +0530] "GET /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 11601
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:40:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:42:01 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 13066
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:42:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Nov/2019:18:44:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
